,node_id1,node_id2,label_id1,label_id2,ibd_sum
457,node_98,node_1602,южные-русские,северные-русские,9.99946
458,node_98,node_1781,южные-русские,южные-русские,9.90227
459,node_98,node_1900,южные-русские,южные-русские,8.68585
460,node_98,node_2069,южные-русские,южные-русские,8.3829
461,node_98,node_2219,южные-русские,южные-русские,8.39641
462,node_98,node_2287,южные-русские,южные-русские,9.06586
463,node_98,node_2385,южные-русские,южные-русские,9.40961
464,node_98,node_2480,южные-русские,южные-русские,10.8103
465,node_99,node_108,южные-русские,южные-русские,8.44087
466,node_99,node_119,южные-русские,северные-русские,8.87523
467,node_99,node_139,южные-русские,южные-русские,8.67581
468,node_99,node_145,южные-русские,южные-русские,16.6272
469,node_99,node_167,южные-русские,южные-русские,8.82454
470,node_99,node_172,южные-русские,южные-русские,16.272
471,node_99,node_273,южные-русские,южные-русские,9.58255
472,node_99,node_286,южные-русские,южные-русские,8.76443
473,node_99,node_331,южные-русские,южные-русские,14.6271
474,node_99,node_350,южные-русские,южные-русские,10.9301
475,node_99,node_483,южные-русские,южные-русские,12.7509
476,node_99,node_501,южные-русские,южные-русские,9.57028
477,node_99,node_612,южные-русские,южные-русские,8.82454
478,node_99,node_616,южные-русские,южные-русские,13.0573
479,node_99,node_625,южные-русские,южные-русские,9.38776
480,node_99,node_678,южные-русские,южные-русские,8.07568
481,node_99,node_695,южные-русские,южные-русские,21.179
482,node_99,node_744,южные-русские,южные-русские,10.4591
483,node_99,node_761,южные-русские,северные-русские,8.17026
484,node_99,node_773,южные-русские,южные-русские,13.1181
485,node_99,node_776,южные-русские,южные-русские,10.9706
486,node_99,node_1007,южные-русские,южные-русские,9.33601
487,node_99,node_1075,южные-русские,южные-русские,9.17578
488,node_99,node_1087,южные-русские,южные-русские,8.30255
489,node_99,node_1274,южные-русские,южные-русские,13.8899
490,node_99,node_1401,южные-русские,южные-русские,11.5548
491,node_99,node_1671,южные-русские,южные-русские,8.35433
492,node_99,node_1727,южные-русские,южные-русские,12.8514
493,node_99,node_1813,южные-русские,южные-русские,8.08913
494,node_99,node_1835,южные-русские,южные-русские,11.3352
495,node_99,node_1914,южные-русские,южные-русские,8.7271
496,node_99,node_1946,южные-русские,южные-русские,8.63226
497,node_99,node_2126,южные-русские,южные-русские,8.15142
498,node_99,node_2137,южные-русские,южные-русские,9.14497
499,node_99,node_2263,южные-русские,северные-русские,11.3492
500,node_99,node_2320,южные-русские,южные-русские,8.47486
501,node_99,node_2333,южные-русские,южные-русские,8.86569
502,node_99,node_2334,южные-русские,украинцы,9.65395
503,node_99,node_2476,южные-русские,южные-русские,22.4119
504,node_99,node_2511,южные-русские,украинцы,8.24942
505,node_100,node_357,украинцы,южные-русские,8.4155
506,node_100,node_375,украинцы,южные-русские,8.74353
507,node_100,node_411,украинцы,южные-русские,10.5376
508,node_100,node_1041,украинцы,южные-русские,10.359
509,node_100,node_1191,украинцы,белорусы,12.1088
510,node_100,node_1272,украинцы,южные-русские,11.5537
511,node_100,node_1549,украинцы,северные-русские,9.62921
512,node_100,node_1802,украинцы,южные-русские,10.397
513,node_100,node_1943,украинцы,белорусы,11.7906
514,node_100,node_2155,украинцы,южные-русские,10.4319
515,node_100,node_2178,украинцы,северные-русские,8.03355
516,node_100,node_2218,украинцы,южные-русские,8.26682
517,node_100,node_2419,украинцы,южные-русские,14.2289
518,node_100,node_2535,украинцы,белорусы,21.4498
519,node_100,node_2605,украинцы,украинцы,8.57038
520,node_101,node_272,южные-русские,южные-русские,8.75728
521,node_101,node_336,южные-русские,южные-русские,8.91424
522,node_101,node_348,южные-русские,южные-русские,10.6946
523,node_101,node_364,южные-русские,белорусы,8.81566
524,node_101,node_435,южные-русские,южные-русские,8.86637
525,node_101,node_530,южные-русские,южные-русские,8.01773
526,node_101,node_553,южные-русские,южные-русские,14.5288
